#miRNA	read_count	precursor	total	seq	seq(norm)
cfa-let-7a	305528.00	cfa-let-7a-1	305528.00	305528.00	118603.70
cfa-let-7a	307152.00	cfa-let-7a-2	307152.00	307152.00	119234.13
cfa-let-7b	50178.00	cfa-let-7b	50178.00	50178.00	19478.73
cfa-let-7c	1775.00	cfa-let-7c	1775.00	1775.00	689.04
cfa-let-7d	534.00	cfa-let-7d	534.00	534.00	207.29
cfa-let-7e	6918.00	cfa-let-7e	6918.00	6918.00	2685.52
cfa-let-7f	65267.00	cfa-let-7f	65267.00	65267.00	25336.17
cfa-let-7g	48196.00	cfa-let-7g	48196.00	48196.00	18709.33
cfa-let-7j	1.00	cfa-let-7j	1.00	1.00	0.39
cfa-miR-1	55.00	cfa-mir-1-1	55.00	55.00	21.35
cfa-miR-1	55.00	cfa-mir-1-2	55.00	55.00	21.35
cfa-miR-101	148.00	cfa-mir-101-1	148.00	148.00	57.45
cfa-miR-101	148.00	cfa-mir-101-2	148.00	148.00	57.45
cfa-miR-103	7483.00	cfa-mir-103-1	7483.00	7483.00	2904.85
cfa-miR-103	7997.00	cfa-mir-103-2	7997.00	7997.00	3104.38
cfa-miR-105a	0.00	cfa-mir-105a	0.00	0	0
cfa-miR-105b	0.00	cfa-mir-105b	0.00	0	0
cfa-miR-106a	16.00	cfa-mir-106a	16.00	16.00	6.21
cfa-miR-106b	452.00	cfa-mir-106b	452.00	452.00	175.46
cfa-miR-107	186.00	cfa-mir-107	186.00	186.00	72.20
cfa-miR-10a	152.00	cfa-mir-10a	152.00	152.00	59.01
cfa-miR-10b	57650.00	cfa-mir-10b	57650.00	57650.00	22379.30
cfa-miR-1185	1.00	cfa-mir-1185	1.00	1.00	0.39
cfa-miR-1199-5p	0.00	cfa-mir-1199	0.00	0	0
cfa-miR-1199-3p	0.00	cfa-mir-1199	0.00	0	0
cfa-miR-122	249.00	cfa-mir-122	249.00	249.00	96.66
cfa-miR-124	7.00	cfa-mir-124-1	7.00	7.00	2.72
cfa-miR-124	7.00	cfa-mir-124-2	7.00	7.00	2.72
cfa-miR-124	7.00	cfa-mir-124-3	7.00	7.00	2.72
cfa-miR-1249	486.00	cfa-mir-1249	486.00	486.00	188.66
cfa-miR-125a	3043.00	cfa-mir-125a	3043.00	3043.00	1181.27
cfa-miR-125b	23738.00	cfa-mir-125b-1	23738.00	23738.00	9214.92
cfa-miR-125b	23709.00	cfa-mir-125b-2	23709.00	23709.00	9203.66
cfa-miR-126	82.00	cfa-mir-126	82.00	82.00	31.83
cfa-miR-127	84.00	cfa-mir-127	84.00	84.00	32.61
cfa-miR-1271	2571.00	cfa-mir-1271	2571.00	2571.00	998.04
cfa-miR-128	3921.00	cfa-mir-128-1	3921.00	3921.00	1522.10
cfa-miR-128	3921.00	cfa-mir-128-2	3921.00	3921.00	1522.10
cfa-miR-129	62.00	cfa-mir-129-1	62.00	62.00	24.07
cfa-miR-129	62.00	cfa-mir-129-2	62.00	62.00	24.07
cfa-miR-1296	274.00	cfa-mir-1296	274.00	274.00	106.36
cfa-miR-1301	222.00	cfa-mir-1301	222.00	222.00	86.18
cfa-miR-1306	76.00	cfa-mir-1306	76.00	76.00	29.50
cfa-miR-1307	188.00	cfa-mir-1307	188.00	188.00	72.98
cfa-miR-130a	43.00	cfa-mir-130a	43.00	43.00	16.69
cfa-miR-130b	69.00	cfa-mir-130b	69.00	69.00	26.79
cfa-miR-132	843.00	cfa-mir-132	843.00	843.00	327.25
cfa-miR-133a	887.00	cfa-mir-133a	887.00	887.00	344.33
cfa-miR-133b	6.00	cfa-mir-133b	6.00	6.00	2.33
cfa-miR-133c	887.00	cfa-mir-133c	887.00	887.00	344.33
cfa-miR-134	12.00	cfa-mir-134	12.00	12.00	4.66
cfa-miR-1343	312.00	cfa-mir-1343	312.00	312.00	121.12
cfa-miR-135a-5p	0.00	cfa-mir-135a-1	0.00	0	0
